"indicator_name","table_name"
"Contributing family workers, total (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Electric power transmission and distribution losses (% of output)","wdi_energy_production"
"Employers, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employers, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employers, total (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in agriculture (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in industry (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in industry, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in industry, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in services (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in services, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment in services, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","wdi_employment_by_sector"
"Energy imports, net (% of energy use)","wdi_energy_consumption"
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)","wdi_energy_consumption"
"Forest area (% of land area)","wdi_agriculture_land"
"Forest area (sq. km)","wdi_agriculture_land"
"Fossil fuel energy consumption (% of total)","wdi_energy_consumption"
"GDP per capita, PPP (constant 2021 international $)","wdi_ppp_economics"
"GDP per capita, PPP (current international $)","wdi_ppp_economics"
"GDP per person employed (constant 2021 PPP $)","wdi_ppp_economics"
"GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","wdi_energy_consumption"
"GDP per unit of energy use (PPP $ per kg of oil equivalent)","wdi_energy_consumption"
"GDP, PPP (constant 2021 international $)","wdi_ppp_economics"
"GDP, PPP (current international $)","wdi_ppp_economics"
"GNI per capita, PPP (constant 2021 international $)","wdi_ppp_economics"
"GNI per capita, PPP (current international $)","wdi_ppp_economics"
"GNI, PPP (constant 2021 international $)","wdi_ppp_economics"
"GNI, PPP (current international $)","wdi_ppp_economics"
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)","wdi_ppp_economics"
"Households and NPISHs Final consumption expenditure, PPP (current international $)","wdi_ppp_economics"
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","wdi_health_disease_prevention"
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","wdi_health_disease_prevention"
"Incidence of HIV, all (per 1,000 uninfected population)","wdi_health_disease_prevention"
"Industry (including construction), value added per worker (constant 2015 US$)","wdi_employment_by_sector"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","wdi_labor_force_participation"
"Labor force, female (% of total labor force)","wdi_labor_force_participation"
"Labor force, total","wdi_labor_force_participation"
"Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","wdi_environment_emissions"
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)","wdi_public_debt"
"Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990)","wdi_environment_emissions"
"Number of deaths ages 10-14 years","wdi_fertility_mortality"
"Number of deaths ages 15-19 years","wdi_fertility_mortality"
"Number of deaths ages 20-24 years","wdi_fertility_mortality"
"Number of deaths ages 5-9 years","wdi_fertility_mortality"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","wdi_environment_emissions"
"Prevalence of HIV, female (% ages 15-24)","wdi_health_disease_prevention"
"Prevalence of HIV, male (% ages 15-24)","wdi_health_disease_prevention"
"Prevalence of HIV, total (% of population ages 15-49)","wdi_health_disease_prevention"
"Probability of dying among adolescents ages 10-14 years (per 1,000)","wdi_fertility_mortality"
"Probability of dying among adolescents ages 15-19 years (per 1,000)","wdi_fertility_mortality"
"Probability of dying among children ages 5-9 years (per 1,000)","wdi_fertility_mortality"
"Probability of dying among youth ages 20-24 years (per 1,000)","wdi_fertility_mortality"
"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","wdi_gender_women_empowerment"
"Renewable energy consumption (% of total final energy consumption)","wdi_energy_consumption"
"Self-employed, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Self-employed, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Self-employed, total (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Services, value added per worker (constant 2015 US$)","wdi_employment_by_sector"
"Total greenhouse gas emissions excluding LULUCF (% change from 1990)","wdi_environment_emissions"
"Unemployment, female (% of female labor force) (modeled ILO estimate)","wdi_unemployment_youth"
"Unemployment, male (% of male labor force) (modeled ILO estimate)","wdi_unemployment_youth"
"Unemployment, total (% of total labor force) (modeled ILO estimate)","wdi_unemployment_youth"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","wdi_unemployment_youth"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","wdi_unemployment_youth"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","wdi_unemployment_youth"
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Women's share of population ages 15+ living with HIV (%)","wdi_health_disease_prevention"
"Military expenditure (% of general government expenditure)","wdi_public_finance_expenditure"
"Access to electricity (% of population)","wdi_infrastructure_utilities"
"Access to electricity, rural (% of rural population)","wdi_infrastructure_utilities"
"Access to electricity, urban (% of urban population)","wdi_infrastructure_utilities"
"Net official aid received (constant 2021 US$)","wdi_public_debt"
"Net official aid received (current US$)","wdi_public_debt"
"Battle-related deaths (number of people)","wdi_governance_rule_of_law"
"Public private partnerships investment in transport (current US$)","wdi_infrastructure_transport"
"Investment in transport with private participation (current US$)","wdi_infrastructure_transport"
"PNG, bonds (NFL, current US$)","wdi_public_debt"
"Other expense (% of expense)","wdi_public_finance_expenditure"
"Tariff rate, applied, simple mean, all products (%)","wdi_trade_merchandise_imports"
"Tariff rate, applied, simple mean, manufactured products (%)","wdi_trade_merchandise_imports"
"Tariff rate, applied, simple mean, primary products (%)","wdi_trade_merchandise_imports"
"Tariff rate, applied, weighted mean, all products (%)","wdi_trade_merchandise_imports"
"Tariff rate, applied, weighted mean, manufactured products (%)","wdi_trade_merchandise_imports"
"Tariff rate, applied, weighted mean, primary products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, simple mean, all products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, simple mean, manufactured products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, simple mean, primary products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, weighted mean, all products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, weighted mean, manufactured products (%)","wdi_trade_merchandise_imports"
"Tariff rate, most favored nation, weighted mean, primary products (%)","wdi_trade_merchandise_imports"
"Maternal mortality ratio (national estimate, per 100,000 live births)","wdi_health_reproductive"
"Prevalence of stunting, height for age (% of children under 5)","wdi_health_nutrition"
"Prevalence of underweight, weight for age (% of children under 5)","wdi_health_nutrition"
"Prevalence of wasting, weight for height (% of children under 5)","wdi_health_nutrition"
"Pregnant women receiving prenatal care (%)","wdi_health_reproductive"
"Prevalence of overweight, weight for height (% of children under 5)","wdi_health_nutrition"
"Exclusive breastfeeding (% of children under 6 months)","wdi_health_nutrition"
"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","wdi_gender_women_empowerment"
"Unmet need for contraception (% of married women ages 15-49)","wdi_health_reproductive"
"Wanted fertility rate (births per woman)","wdi_fertility_mortality"
"Women who were first married by age 15 (% of women ages 20-24)","wdi_gender_women_empowerment"
"Women who were first married by age 18 (% of women ages 20-24)","wdi_gender_women_empowerment"
"Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","wdi_health_disease_prevention"
"Prevalence of overweight, weight for height, female (% of children under 5)","wdi_health_nutrition"
"Prevalence of overweight, weight for height, male (% of children under 5)","wdi_health_nutrition"
"Prevalence of severe wasting, weight for height (% of children under 5)","wdi_health_nutrition"
"Prevalence of severe wasting, weight for height, female (% of children under 5)","wdi_health_nutrition"
"Prevalence of severe wasting, weight for height, male (% of children under 5)","wdi_health_nutrition"
"Prevalence of stunting, height for age, female (% of children under 5)","wdi_health_nutrition"
"Prevalence of stunting, height for age, male (% of children under 5)","wdi_health_nutrition"
"Prevalence of underweight, weight for age, female (% of children under 5)","wdi_health_nutrition"
"Prevalence of underweight, weight for age, male (% of children under 5)","wdi_health_nutrition"
"Prevalence of wasting, weight for height, female (% of children under 5)","wdi_health_nutrition"
"Prevalence of wasting, weight for height, male (% of children under 5)","wdi_health_nutrition"
"Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","wdi_poverty_headcount"
"Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","wdi_poverty_headcount"
"Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","wdi_health_expenditure"
"Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","wdi_health_expenditure"
"International migrant stock (% of population)","wdi_migration_refugees"
"Land area where elevation is below 5 meters (% of total land area)","wdi_environment_resources"
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","wdi_environment_emissions"
"Population living in areas where elevation is below 5 meters (% of total population)","wdi_environment_resources"
"Rural land area (sq. km)","wdi_agriculture_land"
"Rural land area where elevation is below 5 meters (% of total land area)","wdi_environment_resources"
"Rural land area where elevation is below 5 meters (sq. km)","wdi_environment_resources"
"Rural population living in areas where elevation is below 5 meters (% of total population)","wdi_environment_resources"
"Urban land area (sq. km)","wdi_agriculture_land"
"Urban land area where elevation is below 5 meters (% of total land area)","wdi_environment_resources"
"Urban land area where elevation is below 5 meters (sq. km)","wdi_environment_resources"
"Urban population living in areas where elevation is below 5 meters (% of total population)","wdi_environment_resources"
"Completeness of death registration with cause-of-death information (%)","wdi_health_services"
"Nurses and midwives (per 1,000 people)","wdi_health_services"
"Community health workers (per 1,000 people)","wdi_health_services"
"Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","wdi_health_reproductive"
"Adults (ages 15+) and children (ages 0-14) newly infected with HIV","wdi_health_disease_prevention"
"Adults (ages 15-49) newly infected with HIV","wdi_health_disease_prevention"
"Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e)","wdi_environment_emissions"
"Children (0-14) living with HIV","wdi_health_disease_prevention"
"Children (ages 0-14) newly infected with HIV","wdi_health_disease_prevention"
"Energy intensity level of primary energy (MJ/$2017 PPP GDP)","wdi_energy_consumption"
"Intentional homicides, female (per 100,000 female)","wdi_governance_rule_of_law"
"Intentional homicides, male (per 100,000 male)","wdi_governance_rule_of_law"
"Total greenhouse gas emissions including LULUCF (Mt CO2e)","wdi_environment_emissions"
"Young people (ages 15-24) newly infected with HIV","wdi_health_disease_prevention"
"Individuals using the Internet (% of population)","wdi_technology_ict_usage"
"Medium and high-tech exports (% manufactured exports)","wdi_technology_innovation_rd"
"Medium and high-tech manufacturing value added (% manufacturing value added)","wdi_technology_innovation_rd"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)","wdi_environment_emissions"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)","wdi_environment_emissions"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)","wdi_environment_emissions"
"Adjusted net savings, excluding particulate emission damage (current US$)","wdi_gdp_national_accounts"
"Adjusted net savings, including particulate emission damage (current US$)","wdi_gdp_national_accounts"
"Adjusted savings: particulate emission damage (current US$)","wdi_environment_emissions"
"GDP deflator: linked series (base year varies by country)","wdi_inflation_prices"
"GDP: linked series (current LCU)","wdi_gdp_national_accounts"
"GNI: linked series (current LCU)","wdi_gdp_national_accounts"
"Households and NPISHs final consumption expenditure: linked series (current LCU)","wdi_gdp_national_accounts"
"Inflation, GDP deflator: linked series (annual %)","wdi_inflation_prices"
"PPP conversion factor, GDP (LCU per international $)","wdi_ppp_economics"
"Price level ratio of PPP conversion factor (GDP) to market exchange rate","wdi_ppp_economics"
"PPP conversion factor, private consumption (LCU per international $)","wdi_ppp_economics"
"Intentional homicides (per 100,000 people)","wdi_governance_rule_of_law"
"Investment in ICT with private participation (current US$)","wdi_technology_ict_usage"
"Public private partnerships investment in ICT (current US$)","wdi_technology_ict_usage"
"S&P Global Equity Indices (annual % change)","wdi_financial_sector_markets"
"Investment in water and sanitation with private participation (current US$)","wdi_infrastructure_utilities"
"Public private partnerships investment in water and sanitation (current US$)","wdi_infrastructure_utilities"
"Female headed households (% of households with a female head)","wdi_gender_women_empowerment"
"International tourism, expenditures (% of total imports)","wdi_trade_services"
"International tourism, expenditures (current US$)","wdi_trade_services"
"International tourism, expenditures for passenger transport items (current US$)","wdi_trade_services"
"International tourism, expenditures for travel items (current US$)","wdi_trade_services"
"International tourism, number of arrivals","wdi_trade_services"
"International tourism, receipts (% of total exports)","wdi_trade_services"
"International tourism, receipts (current US$)","wdi_trade_services"
"International tourism, receipts for passenger transport items (current US$)","wdi_trade_services"
"International tourism, receipts for travel items (current US$)","wdi_trade_services"
"Railways, goods transported (million ton-km)","wdi_infrastructure_transport"
"International tourism, number of departures","wdi_trade_services"
"Railways, passengers carried (million passenger-km)","wdi_infrastructure_transport"
"Consumption of iodized salt (% of households)","wdi_health_nutrition"
"Condom use, population ages 15-24, female (% of females ages 15-24)","wdi_health_reproductive"
"Condom use, population ages 15-24, male (% of males ages 15-24)","wdi_health_reproductive"
"Net bilateral aid flows from DAC donors, Greece (current US$)","wdi_public_debt"
"Scientific and technical journal articles","wdi_technology_innovation_rd"
"Research and development expenditure (% of GDP)","wdi_technology_innovation_rd"
"Researchers in R&D (per million people)","wdi_technology_innovation_rd"
"Technicians in R&D (per million people)","wdi_technology_innovation_rd"
"Binding coverage, all products (%)","wdi_trade_merchandise_imports"
"Binding coverage, manufactured products (%)","wdi_trade_merchandise_imports"
"Binding coverage, primary products (%)","wdi_trade_merchandise_imports"
"Bound rate, simple mean, all products (%)","wdi_trade_merchandise_imports"
"Bound rate, simple mean, manufactured products (%)","wdi_trade_merchandise_imports"
"Bound rate, simple mean, primary products (%)","wdi_trade_merchandise_imports"
"Proportion of seats held by women in national parliaments (%)","wdi_gender_women_empowerment"
"School enrollment, secondary, private (% of total secondary)","wdi_education_enrollment"
"Net intake rate in grade 1 (% of official school-age population)","wdi_education_enrollment"
"Trained teachers in primary education (% of total teachers)","wdi_education_quality_expenditure"
"Trained teachers in primary education, female (% of female teachers)","wdi_education_quality_expenditure"
"Trained teachers in primary education, male (% of male teachers)","wdi_education_quality_expenditure"
"Government expenditure per student, secondary (% of GDP per capita)","wdi_education_quality_expenditure"
"Current education expenditure, primary (% of total expenditure in primary public institutions)","wdi_education_quality_expenditure"
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)","wdi_education_quality_expenditure"
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","wdi_education_quality_expenditure"
"Current education expenditure, total (% of total expenditure in public institutions)","wdi_education_quality_expenditure"
"Government expenditure per student, primary (% of GDP per capita)","wdi_education_quality_expenditure"
"Net intake rate in grade 1, female (% of official school-age population)","wdi_education_enrollment"
"Net intake rate in grade 1, male (% of official school-age population)","wdi_education_enrollment"
"Trained teachers in lower secondary education (% of total teachers)","wdi_education_quality_expenditure"
"Trained teachers in lower secondary education, female (% of female teachers)","wdi_education_quality_expenditure"
"Trained teachers in lower secondary education, male (% of male teachers)","wdi_education_quality_expenditure"
"Trained teachers in secondary education (% of total teachers)","wdi_education_quality_expenditure"
"Trained teachers in secondary education, female (% of female teachers)","wdi_education_quality_expenditure"
"Trained teachers in secondary education, male (% of male teachers)","wdi_education_quality_expenditure"
"Trained teachers in upper secondary education (% of total teachers)","wdi_education_quality_expenditure"
"Trained teachers in upper secondary education, female (% of female teachers)","wdi_education_quality_expenditure"
"Trained teachers in upper secondary education, male (% of male teachers)","wdi_education_quality_expenditure"
"Rail lines (total route-km)","wdi_infrastructure_transport"
"Trained teachers in preprimary education (% of total teachers)","wdi_education_quality_expenditure"
"Trained teachers in preprimary education, female (% of female teachers)","wdi_education_quality_expenditure"
"Trained teachers in preprimary education, male (% of male teachers)","wdi_education_quality_expenditure"
"Control of Corruption: Estimate","wdi_governance_rule_of_law"
"Control of Corruption: Number of Sources","wdi_governance_rule_of_law"
"Control of Corruption: Percentile Rank","wdi_governance_rule_of_law"
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Control of Corruption: Standard Error","wdi_governance_rule_of_law"
"Government Effectiveness: Estimate","wdi_governance_rule_of_law"
"Government Effectiveness: Number of Sources","wdi_governance_rule_of_law"
"Government Effectiveness: Percentile Rank","wdi_governance_rule_of_law"
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Government Effectiveness: Standard Error","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Estimate","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Number of Sources","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Percentile Rank","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Political Stability and Absence of Violence/Terrorism: Standard Error","wdi_governance_rule_of_law"
"Regulatory Quality: Estimate","wdi_governance_rule_of_law"
"Regulatory Quality: Number of Sources","wdi_governance_rule_of_law"
"Regulatory Quality: Percentile Rank","wdi_governance_rule_of_law"
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Regulatory Quality: Standard Error","wdi_governance_rule_of_law"
"Rule of Law: Estimate","wdi_governance_rule_of_law"
"Rule of Law: Number of Sources","wdi_governance_rule_of_law"
"Rule of Law: Percentile Rank","wdi_governance_rule_of_law"
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Rule of Law: Standard Error","wdi_governance_rule_of_law"
"Voice and Accountability: Estimate","wdi_governance_rule_of_law"
"Voice and Accountability: Number of Sources","wdi_governance_rule_of_law"
"Voice and Accountability: Percentile Rank","wdi_governance_rule_of_law"
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","wdi_governance_rule_of_law"
"Voice and Accountability: Standard Error","wdi_governance_rule_of_law"
"Children in employment, female (% of female children ages 7-14)","wdi_employment_by_sector"
"Children in employment, male (% of male children ages 7-14)","wdi_employment_by_sector"
"Children in employment, study and work (% of children in employment, ages 7-14)","wdi_employment_by_sector"
"Children in employment, study and work, female (% of female children in employment, ages 7-14)","wdi_employment_by_sector"
"Children in employment, study and work, male (% of male children in employment, ages 7-14)","wdi_employment_by_sector"
"Children in employment, total (% of children ages 7-14)","wdi_employment_by_sector"
"Children in employment, work only (% of children in employment, ages 7-14)","wdi_employment_by_sector"
"Children in employment, work only, female (% of female children in employment, ages 7-14)","wdi_employment_by_sector"
"Children in employment, work only, male (% of male children in employment, ages 7-14)","wdi_employment_by_sector"
"Female genital mutilation prevalence (%)","wdi_gender_women_empowerment"
"Access to clean fuels and technologies for cooking (% of population)","wdi_infrastructure_utilities"
"Access to clean fuels and technologies for cooking, rural (% of rural population)","wdi_infrastructure_utilities"
"Access to clean fuels and technologies for cooking, urban (% of urban population)","wdi_infrastructure_utilities"
"Antiretroviral therapy coverage (% of people living with HIV)","wdi_health_disease_prevention"
"Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)","wdi_health_disease_prevention"
"Asylum-seekers by country or territory of asylum","wdi_migration_refugees"
"Asylum-seekers by country or territory of origin","wdi_migration_refugees"
"Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e)","wdi_environment_emissions"
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","wdi_fertility_mortality"
"Cause of death, by injury (% of total)","wdi_fertility_mortality"
"Cause of death, by non-communicable diseases (% of total)","wdi_fertility_mortality"
"Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","wdi_health_disease_prevention"
"Current health expenditure (% of GDP)","wdi_health_expenditure"
"Current health expenditure per capita (current US$)","wdi_health_expenditure"
"Current health expenditure per capita, PPP (current international $)","wdi_health_expenditure"
"Domestic general government health expenditure (% of current health expenditure)","wdi_health_expenditure"
"Domestic general government health expenditure (% of GDP)","wdi_health_expenditure"
"Domestic general government health expenditure per capita (current US$)","wdi_health_expenditure"
"Domestic general government health expenditure per capita, PPP (current international $)","wdi_health_expenditure"
"Domestic private health expenditure (% of current health expenditure)","wdi_health_expenditure"
"Domestic private health expenditure per capita (current US$)","wdi_health_expenditure"
"Domestic private health expenditure per capita, PPP (current international $)","wdi_health_expenditure"
"External health expenditure (% of current health expenditure)","wdi_health_expenditure"
"External health expenditure per capita (current US$)","wdi_health_expenditure"
"External health expenditure per capita, PPP (current international $)","wdi_health_expenditure"
"ICT goods exports (% of total goods exports)","wdi_technology_ict_usage"
"ICT goods imports (% total goods imports)","wdi_technology_ict_usage"
"Incidence of malaria (per 1,000 population at risk)","wdi_health_disease_prevention"
"Low-birthweight babies (% of births)","wdi_health_reproductive"
"Mortality caused by road traffic injury (per 100,000 population)","wdi_fertility_mortality"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","wdi_fertility_mortality"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","wdi_fertility_mortality"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","wdi_fertility_mortality"
"Mortality rate attributed to unintentional poisoning (per 100,000 population)","wdi_fertility_mortality"
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","wdi_fertility_mortality"
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","wdi_fertility_mortality"
"Out-of-pocket expenditure (% of current health expenditure)","wdi_health_expenditure"
"Out-of-pocket expenditure per capita (current US$)","wdi_health_expenditure"
"Out-of-pocket expenditure per capita, PPP (current international $)","wdi_health_expenditure"
"Population living in slums (% of urban population)","wdi_poverty_headcount"
"Prevalence of anemia among children (% of children ages 6-59 months)","wdi_health_nutrition"
"Prevalence of anemia among non-pregnant women (% of women ages 15-49)","wdi_health_nutrition"
"Prevalence of anemia among pregnant women (%)","wdi_health_nutrition"
"Prevalence of anemia among women of reproductive age (% of women ages 15-49)","wdi_health_nutrition"
"Prevalence of current tobacco use (% of adults)","wdi_health_disease_prevention"
"Prevalence of current tobacco use, females (% of female adults)","wdi_health_disease_prevention"
"Prevalence of current tobacco use, males (% of male adults)","wdi_health_disease_prevention"
"Prevalence of overweight, weight for height (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Prevalence of overweight, weight for height, male (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)","wdi_health_nutrition"
"Suicide mortality rate (per 100,000 population)","wdi_fertility_mortality"
"Suicide mortality rate, female (per 100,000 female population)","wdi_fertility_mortality"
"Suicide mortality rate, male (per 100,000 male population)","wdi_fertility_mortality"
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","wdi_health_disease_prevention"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","wdi_health_disease_prevention"
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","wdi_health_disease_prevention"
"Vitamin A supplementation coverage rate (% of children ages 6-59 months)","wdi_health_nutrition"
"Automated teller machines (ATMs) (per 100,000 adults)","wdi_financial_sector_access"
"Bank liquid reserves to bank assets ratio (%)","wdi_financial_sector_stability"
"Borrowers from commercial banks (per 1,000 adults)","wdi_financial_sector_access"
"Commercial bank branches (per 100,000 adults)","wdi_financial_sector_access"
"Prevalence of undernourishment (% of population)","wdi_health_nutrition"
